date,gameVersion
2018-04-17,89226148
2018-04-17,8922694
2018-04-21,882263063
2018-04-15,882256906
2018-04-13,882255537
2018-04-12,882254150
2018-04-12,882253687
2018-04-12,882253018
2018-04-11,882252880
2018-04-16,882251797
2018-04-09,882249477
2018-04-09,882249401
2018-04-07,882247513
2018-04-06,882247358
2018-04-06,882246471
2018-04-06,882246244
2018-04-05,882244304
2018-04-04,882242729
2018-04-03,88224162
2018-04-16,872248646
2018-04-07,872243298
2018-04-06,872243213
2018-03-31,872239264
2018-03-31,872239193
2018-03-30,872237331
2018-03-29,872236767
2018-03-27,872234142
2018-03-27,872233850
2018-03-26,872232226
2018-03-26,872231886
2018-03-24,87223700
2018-03-24,87223556
2018-03-22,872227765
2018-03-22,872227694
2018-03-22,872227469
2018-03-20,872224919
2018-03-20,872224842
2018-03-20,872224833
2018-03-27,86223494
2018-03-29,862229308
2018-03-23,862229206
2018-04-17,862226710
2018-03-25,862226239
2018-03-25,862226216
2018-03-20,862222309
2018-03-17,862222220
2018-03-17,862222149
2018-03-15,862219895
2018-03-15,862219622
2018-03-14,862218714
2018-03-14,862218468
2018-03-14,862216865
2018-03-13,862216676
2018-03-13,862216476
2018-03-13,862215333
2018-03-12,862215174
2018-03-09,862212727
2018-03-09,862212282
2018-03-08,86221770
2018-03-08,86221447
2018-03-08,862209109
2018-03-08,862208902
2018-03-08,862208382
2018-03-07,862207006
2018-03-07,862206781
2018-03-06,862206580
2018-03-09,852209699
2018-03-07,852207641
2018-03-04,852204075
2018-03-03,852204000
2018-03-03,852203006
2018-03-02,852202331
2018-03-02,852202223
2018-03-01,8522023
2018-02-28,852199812
2018-02-28,852198905
2018-02-28,852198572
2018-02-28,852198533
2018-02-27,852196858
2018-02-27,852196688
2018-02-26,852196439
2018-02-23,852194654
2018-02-23,852194606
2018-02-23,852193657
2018-02-23,852193645
2018-02-23,852193576
2018-02-22,852191751
2018-02-21,852191598
2018-02-21,852191427
2018-03-10,84220509
2018-03-01,842194319
2018-02-23,842193761
2018-02-18,842188787
2018-02-16,842187464
2018-02-15,842185775
2018-02-15,842185292
2018-02-15,842184915
2018-02-15,842184773
2018-02-14,842184334
2018-02-13,842182947
2018-02-13,842182752
2018-02-13,842181713
2018-02-12,842181619
2018-02-13,842181112
2018-02-12,842181029
2018-02-10,842179304
2018-02-10,842179080
2018-02-09,842178722
2018-02-09,842177620
2018-02-08,842177439
2018-02-08,842177292
2018-02-07,842175938
2018-02-08,842175776
2018-02-07,842175719
2018-02-06,842174077
2018-02-06,842173826
2018-02-16,832183983
2018-02-09,832177153
2018-02-08,832177007
2018-02-03,832171022
2018-02-02,832168350
2018-02-01,832168008
2018-01-31,832167358
2018-01-31,832167249
2018-01-31,832166462
2018-01-31,832166221
2018-01-30,832165697
2018-01-30,832165408
2018-01-29,832164063
2018-01-29,832163870
2018-01-29,832163738
2018-01-27,832162150
2018-01-26,832162039
2018-01-28,832161972
2018-01-26,832161722
2018-01-26,832159980
2018-01-25,832159909
2018-01-25,832159552
2018-01-25,832159195
2018-01-25,832159071
2018-01-23,832157020
2018-01-23,832156833
2018-01-23,832156566
2018-01-26,82216496
2018-01-26,82216409
2018-01-26,82216200
2018-01-20,822153402
2018-01-23,822152327
2018-01-19,82215824
2018-01-18,822149989
2018-01-17,822149300
2018-01-17,822148995
2018-01-16,822147527
2018-01-16,822147312
2018-01-13,822145834
2018-01-14,822144902
2018-01-12,822144676
2018-01-12,822144283
2018-01-11,822142854
2018-01-11,822142224
2018-01-11,82214993
2018-01-10,82214747
2018-01-09,822139232
2018-01-09,822139189
2018-01-12,812143868
2018-01-21,812136251
2018-01-05,812135563
2018-01-05,812134336
2018-01-04,812133896
2017-12-19,8121393
2017-12-14,812125704
2017-12-14,812125252
2017-12-14,812124950
2017-12-13,812124761
2017-12-13,812124675
2017-12-13,812123590
2017-12-12,812123406
2017-12-12,812123188
2017-12-12,812122053
2017-12-12,812121864
2017-12-11,812121590
2017-12-08,81212332
2017-12-08,81212167
2017-12-08,81212103
2017-12-08,812118742
2017-12-07,812118562
2017-12-07,812118408
2017-12-07,812116976
2017-12-06,812116839
2017-12-06,812116681
2017-12-05,812115410
2017-12-05,812113820
2017-12-14,7242125337
2017-12-13,7242124827
2017-12-13,7242124555
2017-12-13,7242123917
2017-12-13,7242122775
2017-12-09,7242118074
2017-12-07,7242117695
2017-12-07,7242117318
2017-12-05,7242114973
2017-12-01,7242112611
2017-12-01,7242112087
2017-11-30,724211884
2017-11-30,724211265
2017-11-29,7242109701
2017-11-29,7242109491
2017-11-29,7242108214
2017-11-28,7242107977
2017-11-28,7242107714
2017-11-28,7242106267
2017-11-28,7242106022
2017-11-27,7242105674
2017-11-23,7242102666
2017-11-22,7242102573
2017-11-21,7242101203
2017-11-21,724210974
2017-11-21,724210251
2017-11-21,7242099675
2017-11-20,7242099474
2017-11-20,7242099433
2017-12-01,7232107284
2017-11-30,7232101929
2017-11-28,7232101736
2017-11-23,723210466
2017-11-17,7232097302
2017-11-16,7232095411
2017-11-16,7232094263
2017-11-15,7232093517
2017-11-15,7232092959
2017-11-14,7232092788
2017-11-14,7232091324
2017-11-14,7232091041
2017-11-13,723209828
2017-11-13,723209776
2017-11-11,7232089122
2017-11-10,7232088854
2017-11-10,7232088794
2017-11-09,7232087423
2017-11-09,7232087132
2017-11-09,7232087015
2017-11-09,7232085899
2017-11-09,7232085889
2017-11-08,7232085819
2017-11-07,7232084389
2017-11-07,7232084129
2017-11-07,7232084022
2017-11-07,7232082949
2017-11-06,7232082723
2017-11-06,7232082615
2017-11-14,7222089371
2017-11-12,7222087014
2017-11-14,7222086042
2017-11-11,7222084895
2017-11-03,7222081062
2017-11-03,7222079916
2017-11-02,7222078950
2017-11-02,7222078137
2017-11-01,7222077431
2017-11-01,7222077381
2017-10-31,7222075474
2017-10-31,7222075172
2017-10-30,7222075140
2017-10-27,7222073274
2017-10-27,7222073123
2017-10-27,7222072966
2017-10-27,7222072540
2017-10-27,7222072297
2017-10-27,7222072231
2017-10-26,7222068770
2017-10-24,7222068712
2017-10-24,7222068694
2017-10-21,7212066866
2017-10-21,7212066140
2017-10-21,7212066119
2017-10-20,7212065597
